run,pde,model,seed,iters,train_grid,n_res,n_ic,n_bc,k,dt,n_params,loss,loss_res,loss_ic,loss_bc,rMAE,rRMSE,train_time_s,s_per_step,peak_mem_MiB,device,gpu,activation
convection_pinn_g101_it500_s0,convection,pinn,0,500,101,10201,101,101,1,0.0,527361,0.016593743697740138,0.0004901114152744412,0.0005679377354681492,0.015535694546997547,0.7783077004616754,0.8407250058295671,529.3,1.059,822.3,cuda,Tesla T4,
convection_qres_g101_it500_s0,convection,qres,0,500,101,10201,101,101,1,0.0,396545,0.048924787901341915,0.0012618880718946457,0.007226006127893925,0.040436893701553345,0.9465029247833525,0.9925616488973497,303.4,0.607,836.2,cuda,Tesla T4,
convection_fls_g101_it500_s0,convection,fls,0,500,101,10201,101,101,1,0.0,527361,0.010996118086040951,0.0001726544724078849,0.0002564029418863356,0.01056706067174673,0.6623503378975455,0.742598180342257,497.1,0.994,847.3,cuda,Tesla T4,
convection_pinnsformer_g51_it500_s0_k5_dt0.0001,convection,pinnsformer,0,500,51,2601,51,51,5,0.0001,453561,0.3148476262576878,0.004486620891839266,0.2539316713809967,0.05642933398485184,1.072805057850137,1.1395611873712082,617.5,1.235,2262.1,cuda,Tesla T4,
1d_reaction_pinn_g101_it500_s0,1d_reaction,pinn,0,500,101,10201,101,101,1,0.0,527361,0.19909829669092005,0.019350411370396614,0.17974741756916046,4.677513629758323e-07,0.9785468722409634,0.9783777351073923,130.9,0.262,726.2,cuda,Tesla T4,
1d_reaction_qres_g101_it500_s0,1d_reaction,qres,0,500,101,10201,101,101,1,0.0,396545,0.1990214501297487,0.019480329006910324,0.1795397400856018,1.3810372365696821e-06,0.985780417547883,0.9861010460337353,121.7,0.243,686.1,cuda,Tesla T4,
1d_reaction_fls_g101_it500_s0,1d_reaction,fls,0,500,101,10201,101,101,1,0.0,527361,0.19913370649010176,0.019463472068309784,0.179665207862854,5.026558937970549e-06,0.9853987114637769,0.9837580119662772,141.3,0.283,727.2,cuda,Tesla T4,
1d_reaction_pinnsformer_g51_it500_s0_k5_dt0.0001,1d_reaction,pinnsformer,0,500,51,2601,51,51,5,0.0001,453561,4.4388763029701295e-06,3.3060694022424286e-06,1.0676300234990777e-06,6.51768772286232e-08,0.012687640670748325,0.024208302581070797,313.2,0.626,1626.8,cuda,Tesla T4,
convection_qres_g101_it500_s0_nbconfig,convection,qres,0,500,101,10201,101,101,1,0.0,528897,0.15987319662235677,0.000583613058552146,0.08679980039596558,0.07248978316783905,1.0294548351404378,1.0857586581357936,191.1,0.382,987.6,cuda,Tesla T4,
convection_pinn_g101_it500_s1,convection,pinn,1,500,101,10201,101,101,1,0.0,527361,0.024645132827572525,0.0005391354206949472,0.0012918744469061494,0.022814122959971428,0.8572938388636546,0.9040339620800099,298.1,0.596,826.3,cuda,Tesla T4,
convection_pinnsformer_g51_it500_s1_k5_dt0.0001,convection,pinnsformer,1,500,51,2601,51,51,5,0.0001,453561,0.31314524076879025,0.005175093188881874,0.2539253234863281,0.054044824093580246,1.0661771262647783,1.1286157244798172,865.1,1.73,2262.1,cuda,Tesla T4,
convection_pinn_g101_it500_s2,convection,pinn,2,500,101,10201,101,101,1,0.0,527361,0.01581383979646489,0.0002853883197531104,0.0005614271503873169,0.014967024326324463,0.7661322471394126,0.8303399625012542,538.7,1.077,822.3,cuda,Tesla T4,
convection_pinnsformer_g51_it500_s2_k5_dt0.0001,convection,pinnsformer,2,500,51,2601,51,51,5,0.0001,453561,0.008065704947512131,0.00011685548088280484,0.000163477030582726,0.0077853724360466,0.5395302206086066,0.6194194443110687,1325.3,2.651,2262.1,cuda,Tesla T4,
1d_reaction_pinn_g101_it500_s1,1d_reaction,pinn,1,500,101,10201,101,101,1,0.0,527361,0.1993553108695778,0.01916024647653103,0.18018732964992523,7.734743121545762e-06,0.9785071324964879,0.9773060598116612,99.4,0.199,726.2,cuda,Tesla T4,
1d_reaction_pinnsformer_g51_it500_s1_k5_dt0.0001,1d_reaction,pinnsformer,1,500,51,2601,51,51,5,0.0001,453561,4.2501015720119995e-06,3.0910234727343777e-06,1.1421452654758468e-06,1.6932833801774905e-08,0.018258273228131984,0.03649860010455885,185.7,0.371,1626.7,cuda,Tesla T4,
1d_reaction_pinn_g101_it500_s2,1d_reaction,pinn,2,500,101,10201,101,101,1,0.0,527361,9.974911131394038e-05,3.250921508879401e-05,6.678401405224577e-05,4.558821729006013e-07,0.06387033806098122,0.10444755679271363,211.0,0.422,726.2,cuda,Tesla T4,
1d_reaction_pinnsformer_g51_it500_s2_k5_dt0.0001,1d_reaction,pinnsformer,2,500,51,2601,51,51,5,0.0001,453561,5.077879414727704e-06,3.5943021430284716e-06,1.4636523246736033e-06,1.992494702562908e-08,0.01841026324244546,0.035913798295815466,198.5,0.397,1626.7,cuda,Tesla T4,
convection_pinn_wavelet_g101_it500_s0,convection,pinn_wavelet,0,500,101,10201,101,101,1,0.0,527367,0.4702385764103383,0.0017009160947054625,0.44661960005760193,0.02191806025803089,1.2624066327863155,1.3916215966249375,227.0,0.454,1313.4,cuda,Tesla T4,
1d_reaction_pinn_wavelet_g101_it500_s0,1d_reaction,pinn_wavelet,0,500,101,10201,101,101,1,0.0,527367,0.2038202917220957,0.014678901992738247,0.18914122879505157,1.6093430588171032e-07,0.9842292564687258,0.989491374487037,160.0,0.32,1070.1,cuda,Tesla T4,
convection_pinnsformer_g51_it500_s0_k1_dt0.0001,convection,pinnsformer,0,500,51,2601,51,51,1,0.0001,453561,7.323491502120305e-05,1.8795632286128239e-06,1.0146212844119873e-05,6.120913894847035e-05,0.021069836844703232,0.02483124084435072,674.6,1.349,772.3,cuda,Tesla T4,
1d_reaction_pinnsformer_g51_it500_s0_k1_dt0.0001,1d_reaction,pinnsformer,0,500,51,2601,51,51,1,0.0001,453561,0.19758987206409984,0.019173702225089073,0.17841249704360962,3.672795401143958e-06,0.9773976154334085,0.9765424372926119,135.4,0.271,648.3,cuda,Tesla T4,
convection_pinn_g51_it500_s0,convection,pinn,0,500,51,2601,51,51,1,0.0,527361,0.013598513003671542,0.00030361066455952823,0.0004040474887005985,0.012890854850411415,0.7358312994680397,0.8047704491605067,225.6,0.451,544.2,cuda,Tesla T4,
convection_pinnsformer_g101_it500_s0_k5_dt0.0001,convection,pinnsformer,0,500,101,10201,101,101,5,0.0001,453561,0.008009335011593066,0.00023548385070171207,0.00027403992135077715,0.007499811239540577,0.5276536468587528,0.5894083799215922,5720.7,11.441,7646.4,cuda,Tesla T4,
1d_reaction_pinn_g51_it500_s0,1d_reaction,pinn,0,500,51,2601,51,51,1,0.0,527361,0.19810705277814122,0.018246997147798538,0.1798517107963562,8.344833986484446e-06,0.9796680173768822,0.9810547914958491,43.5,0.087,518.7,cuda,Tesla T4,
1d_reaction_pinnsformer_g101_it500_s0_k5_dt0.0001,1d_reaction,pinnsformer,0,500,101,10201,101,101,5,0.0001,453561,0.1989402389052657,0.019818207249045372,0.17912019789218903,1.83376403128932e-06,0.9745324655911751,0.9734333291131783,889.8,1.78,5177.8,cuda,Tesla T4,
1d_wave_pinn_g101_it1000_s0,1d_wave,pinn,0,1000,101,10201,101,101,1,0.0,527361,0.003356865359819494,5.618302384391427e-05,0.00021623766224365681,0.003084444673731923,0.09903933330628574,0.11418961837699117,1990.4,1.99,1468.5,cuda,Tesla T4,
1d_wave_pinnsformer_g51_it1000_s0_k5_dt0.0001,1d_wave,pinnsformer,0,1000,51,2601,51,51,5,0.0001,453561,0.023563936701975763,0.0014173517702147365,0.006204627919942141,0.015941957011818886,0.37370295298185474,0.37813922548882667,4950.6,4.951,5062.9,cuda,Tesla T4,
convection_pinnsformer_g51_it1000_s0_k5_dt0.0001,convection,pinnsformer,0,1000,51,2601,51,51,5,0.0001,453561,0.0083858920406783,0.00015880714636296034,0.0002423498226562515,0.007984735071659088,0.5483028676929128,0.6264239751367436,1515.4,1.515,2263.6,cuda,NVIDIA L4,wavelet
convection_pinnsformer_g51_it500_s1_k1_dt0.0001,convection,pinnsformer,1,500,51,2601,51,51,1,0.0001,453561,0.31312991166487336,0.0033275880850851536,0.2539312541484833,0.05587106943130493,1.065797762859133,1.127835446721789,263.8,0.528,772.3,cuda,NVIDIA L4,wavelet
convection_pinnsformer_g51_it500_s2_k1_dt0.0001,convection,pinnsformer,2,500,51,2601,51,51,1,0.0001,453561,6.048438604011608e-05,3.222645091227605e-06,1.183774475066457e-05,4.5423996198223904e-05,0.023363244915777296,0.0260782876064573,574.4,1.149,772.5,cuda,NVIDIA L4,wavelet
convection_pinnsformer_g51_it500_s0_k5_dt0.0001_sin,convection,pinnsformer,0,500,51,2601,51,51,5,0.0001,453537,0.012389491384965368,0.0001691460347501561,0.0004531302547547966,0.011767215095460415,0.7007470078879087,0.775455907064835,356.3,0.713,1356.7,cuda,NVIDIA L4,sin
convection_pinnsformer_g51_it500_s0_k5_dt0.0001_relu,convection,pinnsformer,0,500,51,2601,51,51,5,0.0001,453537,0.561130480535212,0.08067302405834198,0.480319082736969,0.00013837373990099877,1.0009527443278396,1.0019567047867404,231.5,0.463,586.0,cuda,NVIDIA L4,relu
